YearMonth,Jalisco-Jalisco_precio_frec_mean,25015,25116,25037,14066,14132
2021-10,7.725,-0.95,-0.11,-0.61,0.05,-0.298366349
2021-11,7.8,-1.29,0.19,-0.62,-0.41,-0.645623868
2021-12,8,-2.07,-0.12,-0.94,-0.67,-0.720684208
2022-01,8,-1.9,0.05,-0.89,-0.68,-0.727286007
2022-02,9,-1.9,0.03,-1.05,-0.86,-1.032259287
2022-03,8.9,-2.2,-0.03,-1.18,-0.92,-0.996294179
2022-04,9.375,-2.21,-0.02,-1.21,-0.9,-1.071433484
2022-05,9.875,-2.21,-0.03,-1.23,-0.88,-1.177360819
2022-06,10,-2.21,-0.07,-1.26,-0.97,-1.352479847
2022-07,9.95,-1.83,-0.07,-1.03,-0.12,-0.83121342
2022-08,9.84,-1.79,0.29,-1.09,0.84,-0.119334303
2022-09,10.075,0.47,0.75,-0.08,1.16,-0.358109994
2022-10,10.5,0.94,0.59,-0.04,0.61,-0.758364862
2022-11,11,0.95,0.56,-0.05,0.87,-0.687176991
2022-12,11,0.95,0.53,-0.04,0.89,-0.676593404
2023-01,10.975,0.88,0.49,-0.01,0.95,-0.643636397
2023-02,11,0.85,0.41,0,0.93,-0.664016265
2023-03,10.48,0.82,0.42,0.01,0.95,-0.523199029
2023-04,10.075,0.83,0.43,0.01,0.94,-0.426038794
2023-05,10.26,0.83,0.43,0,0.95,-0.462597808
2023-06,9.575,0.83,0.38,-0.02,0.9,-0.394166397
2023-07,9.125,0.61,0.33,-0.07,0.48,-0.49568075
2023-08,8.9,0.77,0.45,-0.45,-0.23,-0.725916554
2023-09,9,0.39,0.41,-0.95,-0.18,-0.485909441
2023-10,9.5,0.03,0.02,-0.99,-1.02,-1.49
2023-11,10,1.55,0.5,-0.24,-1.01,-1.7
2023-12,10.75,1.56,0.51,-0.16,-0.99,-1.71
2024-01,10.6,1.44,0.35,-0.17,-0.77,-1.53
2024-02,11,1.43,0.34,-0.17,-0.76,-1.49
2024-03,10.625,1.39,0.33,-0.16,-0.6,-1.41
2024-04,9.8,1.39,0.34,-0.17,-0.59,-1.39
2024-05,9.375,1.39,0.34,-0.17,-0.56,-1.4
2024-06,9.75,1.39,0.29,-0.2,-0.5,-1.46
2024-07,9.6,1.18,0.35,-0.36,-1.21,-1.61
2024-08,9.25,1.2,0.1,-0.65,-1.71,-2.16
2024-09,9.5,0.26,-0.19,-1.16,-1.77,-1.98
2024-10,9.2,-0.18,-0.28,-0.42,-1.63,-1.53
2024-11,9.25,-0.28,-0.24,-0.38,-2.01,-1.65
2024-12,9.5,-0.27,-0.23,-0.38,-2.03,-1.59
2025-01,10,-0.27,-0.24,-0.35,-2.1,-1.63
2025-02,9.625,-0.23,-0.3,-0.39,-2.04,-1.59
2025-03,9.125,-0.21,-0.3,-0.37,-1.98,-1.58
2025-04,9.3,-0.21,-0.3,-0.38,-1.95,-1.56
2025-05,9,-0.21,-0.29,-0.39,-1.91,-1.57
2025-06,9.1875,-0.2,-0.34,-0.42,-1.75,-1.5
